CMDLINE /Users/zhaohengrui/anaconda3/bin/python IR_Optimized.py
MEM 137.722656 1553410232.6114
MEM 137.722656 1553410232.7118
MEM 137.722656 1553410232.8120
MEM 137.738281 1553410232.9122
MEM 137.738281 1553410233.0125
MEM 166.125000 1553410233.1168
MEM 194.218750 1553410233.2171
MEM 165.492188 1553410233.3173
MEM 205.742188 1553410233.4179
MEM 171.671875 1553410233.5231
MEM 171.671875 1553410233.6241
MEM 171.671875 1553410233.7245
MEM 171.671875 1553410233.8248
MEM 171.671875 1553410233.9251
MEM 171.675781 1553410234.0294
MEM 171.675781 1553410234.1298
MEM 171.675781 1553410234.2343
MEM 171.675781 1553410234.3381
MEM 171.675781 1553410234.4405
MEM 171.675781 1553410234.5456
MEM 171.675781 1553410234.6479
MEM 171.675781 1553410234.7518
MEM 171.675781 1553410234.8521
MEM 171.679688 1553410234.9533
MEM 171.449219 1553410235.0536
MEM 170.460938 1553410235.1538
